Sentiment,Sentence
Neutral,"FutureLand Corp. aligned with GreenLeaf Holdings, LLC in several ventures as well in 2017."
Positive,"The company brings knowledge, expertise and funding sources to the company that are a great benefit for our future success."
Neutral,"Maury Winnick, one of the principals of GreenLeaf, formerly CEO of MCIG subsidiary VitaCig (MCIG), now sits on our board of Advisors along with newcomer Don ""Dusty"" Lashbrook who has an extensive banking background."
Neutral,"In addition to Amps Electric Inc, GreenLeaf Holdings brought PLHS (Peace Love & Hippie Stuff) Life, LLC to the company."
Neutral,Currently FutureLand Corp. owns 32% of the company.
Neutral,"The company deals in the legal cannabis market with, various name brands like MollyJane, Kannamate, Luniz Lube and CannaKoffee, to CBD and Kratum products."
Positive,Michelle Kelley is the face of the company and has many excellent ideas to disrupt the marketplace.
Positive,We look forward to seeing what she can do with FutureLand and GreenLeaf support.
Neutral,"The company also owns 240 Acres in Huerfano County, Colorado which was originally being set up to lease to cannabis growers."
Negative,"Over the last couple years, we have struggled to attain water rights, as well as other issues like moratoriums and homeowner association concerns which have come up."
Neutral,"Because of ongoing concerns, the company made a decision to focus on Oregon first where none of these things were a problem."
Neutral,"Additionally, Oregon had no residency requirement which made it much simpler for us to execute a plan to grow, which was ultimately our goal with the Colorado land."
Negative,"There has been much talk about Colorado lifting the residency requirement, but until that happens we will probably take a wait and hold position here."
Positive,The property has good up in value substantially since its purchase.
Neutral,"FutureLand Corp bought 20% of Apotheca Biosciences, LLC, a cannabinoid pharma company that is poised to breakout, from CB Scientific (CBSC) earlier this year."
Neutral,Apotheca is currently talking with another public company who has expressed an interest to buy them out early next year.
Positive,"If this happens, our position in the company could be substantial."
Neutral,"FutureLand Corp. also acquired Bitcoin Labs, LLC from FutureWorld Corp. (FWDG)."
Positive,The company is exploring a blockchain raise with its own cryptocurrency (LandCoin) to enable the company to make numerous key acquisitions that have already been lined up during this last year.
Positive,"This is likely to take number months to put together, but the timing could not be better given investors' enthusiasm toward crypto."
Positive,"Bitcoin, Ethereum, Litecoin, Dash to name a few are blowing up expectations."
Positive,The company has also initiated letters of intent to purchase other companies that are still pending mutual agreement in order to move forward.
Neutral,"When we achieve an agreement, we will make sure you are the first ones to know."
Positive,"To summarize, we have had an amazing year in respect to our business growth and revenue, but we have had our challenges also such as share depreciation; unrelated to our business prospect and overall business growth."
Positive,"In 2018, we expect to overcome previous challenges and expand on our successes to validate our business model and increase shareholder value."
Negative,About FutureLand Corp.
Neutral,"FutureLand Corp., a Colorado company, is a cannabis and hemp specialty zoned land leasing company formed to capitalize upon the emerging global cannabis market."
Neutral,"FutureLand, focuses on target acquisition, zoning, license fulfillment, site plan preparation and financing of cannabis or hemp grow facilities throughout the United States."
Neutral,We give growers the opportunity to grow.
Neutral,"We monetize through leasing the land, leasing the structures on the land, financing interest revenue and management fees associated with cultivation centers."
Neutral,FutureLand retains ownership of all the land and the structures.
Neutral,"FutureLand leases to both medical marijuana, retail marijuana as well as industrial hemp growers."
Neutral,"FutureLand does not currently grow, distribute or sell marijuana."
Neutral,"To request further information about FutureLand, please email us at [email protected] , log onto our website at http://www.futurelandcorp.com, or visit us on FB @ futurelandcorp and Twitter @futurelandcorp."
Neutral,"Safe Harbor Statement under the Private Securities Litigation Reform Act of 1995
This press release may contain forward-looking statements covered within the meaning of the Private Securities Litigation Reform Act of 1995."
Neutral,"These forward-looking statements relate to, among other things, plans and timing for the introduction or enhancement of our services and products, statements about future market conditions, supply and demand conditions, and other expectations, intentions and plans contained in this press release that are not historical fact and involve risks and uncertainties."
Neutral,Our expectations regarding future revenues depend upon our ability to develop and supply products and services that we may not produce today and that meet defined specifications.
Neutral,"When used in this press release, the words ""plan,"" ""expect,"" ""believe,"" and similar expressions generally identify forward-looking statements."
Neutral,These statements reflect our current expectations.
Neutral,"They are subject to a number of risks and uncertainties, including, but not limited to, changes in technology and changes in pervasive markets."
Neutral,This release includes forward-looking statements within the meaning of Section 27A of the Securities Act of 1933 and Section 27E of the Securities Act of 1934.
Neutral,Statements contained in this release that are not historical facts may be deemed to be forward-looking statements.
Neutral,Investors are cautioned that forward-looking statements are inherently uncertain.
Neutral,"Actual performance and results may differ materially from that projected or suggested herein due to certain risks and uncertainties including, without limitation, ability to obtain financing and regulatory and shareholder approval for anticipated actions."
Neutral,Contact: Media Contact FutureLand Corp. http://www.futurelandcorp.com [email protected] [email protected] (720) 370-3554 Twitter - @futurelandcorp Facebook - futurelandcorp
