Sentiment,Sentence
Positive,Bosco's astute attention to detail allows her to offer precise solutions to complex matters and deliver polished results that continually exceed expectations.
Neutral,"Bridget Curran , CPA, joins the D.C. Metro Market as a Senior Associate."
Positive,Curran's steadfast commitment and attention to detail for any task enable her to build credibility and help her teams achieve a shared goal.
Neutral,She earned her Bachelor of Business Administration in accountancy from the University of Notre Dame and was most recently at EY as a Senior Associate.
Neutral,"Chris Fallon , CPA , joins the Chicago Market as a Senior Associate."
Positive,Fallon's strategic and analytical approach to problem solving helps him tackle diverse and challenging projects.
Neutral,"He comes to Siegfried from BDO, where he gained audit and tax experience after earning his Bachelor of Science in accounting from the University of Iowa and his master's in accounting from the University of Notre Dame ."
Neutral,Aman Gill joins the Philadelphia Metro Market as a Senior Associate after spending the last three years working for BDO as an auditor.
Neutral,"After earning his Bachelor of Science in accounting from Drexel University , Gill returned to complete his master's degree."
Positive,"As someone who relentlessly works hard to accomplish the task at hand, Gill manages even the most complex issues with a combination of precise planning and great attention to detail."
Negative,Nikole Goddard joins Siegfried's Operations team as a National Recruiting Associate.
Positive,Goddard brings her energetic personality and strong communication skills to the team.
Neutral,She earned her bachelor's degree in agribusiness economics from the University of Florida and is currently working towards an MBA in human resource management from Goldey Beacom College .
Neutral,"Most recently, she was at Xelerate, LLC where she was a Senior Talent Acquisition Consultant and acted as a strategic talent advisor for her clients."
Neutral,Noelle Harper joins the D.C. Metro Market as a Senior Manager after spending the last nine years managing financial reporting at Washington Gas.
Neutral,"After earning her Bachelor of Science in accounting from North Carolina Agricultural & Technical State University , she started her career as an auditor at Arthur Andersen, subsequently acquired by Ernst & Young."
Positive,Harper's naturally outgoing personality and strong emotional intelligence allows her to easily assimilate into any environment.
Neutral,"Tim Henderson , CPA, CA , joins the Los Angeles Market as an Associate Manager after spending six years working in audit for KPMG in Vancouver and in Calgary and Prague ."
Positive,"Henderson enjoys working in a dynamic and collaborative environment, and attended the University of British Columbia , where he earned a degree in psychology."
Neutral,Chris Herber joins the San Francisco Market as an Associate Manager.
Positive,"A professional with a wide variety of experiences, Herber has the ability to connect with individuals in different situations."
Neutral,"He earned his Bachelor of Science in accounting and international business from the University of Denver and was most recently a Senior Consultant III at Agility Solutions, LLC."
Neutral,"Andrew Ho , CPA, CA , joins the Philadelphia Metro Market as a Senior Associate."
Positive,He strives to continually broaden his horizons and embraces opportunities to learning.
Neutral,Ho earned his Bachelor of Business Administration in accounting from the University of Toronto .
Neutral,"Most recently he was at KPMG, where he gained three years of audit experience as a Senior Accountant."
Neutral,"Drew McGillowey , CPA , joins the Boston Market as a Senior Associate."
Positive,"With the ability to drive innovation and motivate his team, McGillowey is an essential resource in the workplace."
Neutral,"He earned his Bachelor of Science in accounting from the Isenberg School of Business at the University of Massachusetts Amherst , and was most recently at Deloitte, where he gained four years of experience."
Neutral,Ken McHugh joins the Philadelphia Metro Market as a Senior Associate.
Positive,McHugh is a motivated professional who possesses the unique ability to remain enthusiastic and driven in the face of challenges.
Neutral,He earned his Bachelor of Science in Business Administration with concentrations in both accounting and finance at Shippensburg University .
Neutral,"Most recently, he was at BDO as an Audit Senior Associate."
Neutral,Roxanne Meyer joins the South Florida Market as a Senior Associate.
Positive,"As someone who brings a strong work ethic, positive attitude, and desire to learn and do things the right way on all her clients, Meyer strives to overcome even the most formidable obstacles with a combination of mental agility and innovation."
Neutral,"She earned her Bachelor of Science and master's degree in accounting from the University of Miami , and most recently was an Audit Senior at Deloitte."
Neutral,"Maria Navarro , CPA , joins the Charlotte Market as a Manager."
Positive,Navarro likes to be productive and focuses on adding value wherever possible.
Neutral,"She earned her bachelor's degree in both accounting and finance from of the University of South Carolina and most recently was the Manager of General Accounting at Dollar Express, LLC."
Neutral,"Jordan Payne , CPA, CA , joins the Houston Market as a Senior Associate."
Positive,Payne's focus on results allows him to drive his team to meet their goals in an effective and timely manner.
Neutral,"He earned his Bachelor of Business Administration at Camosun College in British Columbia , and was most recently a Senior Accountant at EY."
Neutral,Spencer Sandy joins the Philadelphia Metro Market as a Senior Associate.
Positive,"A creative thinker who excels in reinventing, he earned his Bachelor of Science and Master of Accountancy from Pennsylvania State University ."
Neutral,"Most recently, Sandy was an Assurance Senior at EY."
Neutral,"Rushabh Shah , CPA , joins the Boston Market as an Associate Manager."
Positive,Shah enjoys coming up with innovative solutions to any problem and looks forward to new challenges.
Neutral,He earned his bachelor's degree from Boston University and his master's degree from Northeastern University .
Neutral,"Before coming to the Firm, Shah gained almost six years of audit experience at PwC."
Neutral,Amol Shenoy joins the Los Angeles Market as a Senior Associate.
Positive,"An enthusiastic professional, Shenoy prides himself on his ability to adapt to new environments and maintain a positive attitude."
Neutral,He earned his Bachelor of Science in accounting from the University of Southern California and most recently served as an External Audit Associate at Deloitte.
Neutral,Vince Taddeo joins the Cleveland Market as a Senior Associate after spending the first two years of his career as an auditor for EY and the next two years in business development at a financial services firm.
Neutral,He earned his Bachelor of Science in accounting and finance and his master's degree from Baldwin Wallace University.
Positive,"Taddeo embodies what it means to go above and beyond, using a meticulous approach and tireless work ethic to routinely exceed high expectations."
Neutral,Sam Vela joins the Chicago Market as a Senior Associate.
Positive,Vela continually brings a positive attitude and commits herself to providing high-quality client service.
Neutral,She earned her Bachelor of Science in accounting and finance from DePaul University and was previously an Audit Senior at Deloitte.
Neutral,"James Wheeler , CPA , joins the Boston Market as a Senior Associate after spending three years with Wolf and Company and BDO."
Positive,"Charismatic and energetic, he earned his Bachelor of Science in Business Administration in accounting and his master's in accountancy from the University of New Hampshire ."
Neutral,More information about Siegfried and its career opportunities is available at siegfriedgroup.com .
Neutral,"About The Siegfried Group, LLP
The Siegfried Group, LLP (Siegfried) works alongside financial executives across the nation, on their most important accounting and finance projects."
Positive,"Filled with an innovative spirit and led by an ambitious entrepreneur, Siegfried provides unique Leadership Advisory combined with high potential talent."
Positive,At the heart of our Firm is our approach to individual leadership and the continual pursuit of helping people grow both personally and professionally.
Positive,"As a whole, we value having fun, being fair, and building and sharing stakeholder value."
Neutral,"SOURCE The Siegfried Group, LLP
Related Links
http://www.siegfriedgroup.com"
